phase3_duration,phase3_Peso_avg,phase3_Presion_avg,phase3_Presion_max,phase3_Visco_max,phase3_Densidad_max
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
10.0,0.0,0.23433232,0.23437501,0.0,0.0
27985.0,4504.4478,1.2375603,2.5260417,559.38,63897.484
16935.0,5678.35,1.2883555,2.867477,579.17755,66975.87
3345.0,29858.371,1.9153359,3.0034723,717.0,62665.25
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
